review_id,user_id,product_id,rating,review_text,review_date
1,15612,6113,3,Average.,2023-11-22 16:41:25.566270
2,49851,474,4,Exceeded expectations!,2026-05-12 16:41:25.566270
3,50256,1367,3,Average.,2026-04-17 16:41:25.566270
4,36500,5982,3,Average.,2025-04-30 16:41:25.566270
5,29539,2678,5,Exceeded expectations!,2024-10-29 16:41:25.566270
6,98468,73,3,Nothing special.,2025-07-30 16:41:25.566270
7,85360,5161,4,Good quality.,2026-05-13 16:41:25.566270
8,95093,4951,4,Good quality.,2023-11-24 16:41:25.566270
9,57599,217,4,Exceeded expectations!,2024-09-29 16:41:25.566270
10,84316,7755,5,Loved it.,2024-05-24 16:41:25.566270
11,46295,6108,5,Highly recommend,2025-11-30 16:41:25.566270
12,97505,7190,4,Great product!,2026-11-28 00:00:00.000000
13,20252,4109,3,Decent for the price.,2026-04-11 16:41:25.566270
14,64848,521,4,Exceeded expectations!,2023-09-08 16:41:25.566270
15,88630,7965,4,Great product!,2026-02-23 16:41:25.566270
16,94517,1442,4,Highly recommend,2024-12-24 00:00:00.000000
17,60716,3991,5,Great product!,2024-11-04 16:41:25.566270
18,21533,7171,4,Exceeded expectations!,2025-01-11 16:41:25.566270
19,50213,3402,5,Loved it.,2023-08-21 16:41:25.566270
20,35587,4100,5,Good quality.,2024-05-06 16:41:25.566270
21,89459,6145,5,Highly recommend,2025-09-11 16:41:25.566270
22,29119,6573,5,Great product!,2025-01-19 16:41:25.566270
23,6490,3840,5,Loved it.,2025-09-12 16:41:25.566270
24,35543,2309,5,Exceeded expectations!,2024-12-06 00:00:00.000000
25,25346,4209,3,Could be better.,2024-01-07 16:41:25.566270
26,48720,2095,3,Average.,2025-01-05 16:41:25.566270
27,87055,3176,5,Good quality.,2025-10-19 16:41:25.566270
28,1073,4747,2,Terrible experience.,2023-08-30 16:41:25.566270
29,49403,5438,3,Could be better.,2023-06-25 16:41:25.566270
30,88392,8522,5,Great product!,2026-01-29 16:41:25.566270
31,53138,3549,3,Nothing special.,2024-06-09 16:41:25.566270
32,21843,4056,2,Do not buy.,2023-12-11 16:41:25.566270
33,37137,4372,4,Great product!,2024-12-12 00:00:00.000000
34,5193,7321,4,Good quality.,2024-12-16 00:00:00.000000
35,37265,7659,5,Good quality.,2024-12-03 16:41:25.566270
36,23512,6118,5,Loved it.,2024-11-02 16:41:25.566270
37,84996,9044,5,Good quality.,2023-07-14 16:41:25.566270
38,10892,6478,5,Good quality.,2024-11-01 16:41:25.566270
39,38530,549,4,Loved it.,2026-04-21 16:41:25.566270
40,63259,65,5,Exceeded expectations!,2023-12-01 00:00:00.000000
41,13495,9234,2,Terrible experience.,2023-08-06 16:41:25.566270
42,49323,629,4,Loved it.,2025-12-20 00:00:00.000000
43,84570,2812,5,Loved it.,2026-03-26 16:41:25.566270
44,66316,9673,3,It's okay.,2023-12-14 00:00:00.000000
45,48210,1057,4,Good quality.,2023-09-16 16:41:25.566270
46,28159,6118,5,Exceeded expectations!,2025-08-27 16:41:25.566270
47,57146,7686,3,Decent for the price.,2025-12-09 16:41:25.566270
48,42122,3049,2,Do not buy.,2025-12-15 00:00:00.000000
49,99244,9957,5,Loved it.,2025-07-07 16:41:25.566270
50,47460,3099,5,Good quality.,2023-05-11 16:41:25.566270
51,56270,7921,3,It's okay.,2024-05-21 16:41:25.566270
52,3824,4723,5,Good quality.,2024-12-24 16:41:25.566270
53,75270,2569,5,Loved it.,2024-07-09 16:41:25.566270
54,89895,6091,5,Exceeded expectations!,2024-06-27 16:41:25.566270
55,77647,7770,3,It's okay.,2024-12-24 00:00:00.000000
56,50735,1729,5,Exceeded expectations!,2023-10-06 16:41:25.566270
57,69328,9362,5,Highly recommend,2024-09-28 16:41:25.566270
58,24591,1505,5,Highly recommend,2024-03-24 16:41:25.566270
59,22774,7959,4,Good quality.,2024-11-11 16:41:25.566270
60,13607,9318,5,Loved it.,2024-12-25 00:00:00.000000
61,37310,8113,5,Highly recommend,2024-05-24 16:41:25.566270
